"Date ","Open ","High ","Low ","Close ","Prev. Close ","Change ","% Change"
"15-Jan-2020","       13.9125","       14.4575","       13.5850","       14.1200","       13.9125","        0.2100","   1.49"
"16-Jan-2020","       14.1200","       14.3650","       12.5975","       14.1825","       14.1200","        0.0600","   0.44"
"17-Jan-2020","       14.1825","       14.5300","       12.5025","       14.1275","       14.1825","       -0.0600","  -0.39"
"20-Jan-2020","       14.1275","       15.4950","       12.4650","       15.4100","       14.1275","        1.2800","   9.08"
"21-Jan-2020","       15.4100","       16.0400","       15.0725","       15.8625","       15.4100","        0.4500","   2.94"
"22-Jan-2020","       15.8625","       16.6100","       15.3575","       16.3600","       15.8625","        0.5000","   3.14"
"23-Jan-2020","       16.3600","       16.7075","       15.7775","       15.8550","       16.3600","       -0.5100","  -3.09"
"24-Jan-2020","       15.8550","       16.2150","       14.5925","       15.5600","       15.8550","       -0.3000","  -1.86"
"27-Jan-2020","       15.5600","       17.3400","       14.6825","       17.1750","       15.5600","        1.6200","  10.38"
"28-Jan-2020","       17.1750","       17.6150","       16.9575","       17.2975","       17.1750","        0.1200","   0.71"
"29-Jan-2020","       17.2975","       17.2975","       15.6525","       16.4975","       17.2975","       -0.8000","  -4.62"
"30-Jan-2020","       16.4975","       17.1400","       15.3800","       16.7975","       16.4975","        0.3000","   1.82"
"31-Jan-2020","       16.7975","       17.5900","       14.9025","       17.3675","       16.7975","        0.5700","   3.39"
"01-Feb-2020","       17.3675","       17.9300","       16.0325","       16.8350","       17.3675","       -0.5300","  -3.07"
"03-Feb-2020","       16.8350","       17.0300","       15.4825","       15.7825","       16.8350","       -1.0500","  -6.25"
"04-Feb-2020","       15.7825","       15.7825","       14.3100","       14.3800","       15.7825","       -1.4000","  -8.89"
"05-Feb-2020","       14.3800","       14.5250","       13.8175","       14.1725","       14.3800","       -0.2100","  -1.44"
"06-Feb-2020","       14.1725","       14.2425","       12.6450","       13.7800","       14.1725","       -0.3900","  -2.77"
"07-Feb-2020","       13.7800","       13.9925","       12.9750","       13.7475","       13.7800","       -0.0300","  -0.24"
"10-Feb-2020","       13.7475","       14.6000","       12.9650","       14.2100","       13.7475","        0.4600","   3.36"
"11-Feb-2020","       14.2100","       14.2100","       11.3750","       13.8800","       14.2100","       -0.3300","  -2.32"
"12-Feb-2020","       13.8800","       13.8800","       13.1475","       13.6225","       13.8800","       -0.2600","  -1.86"
"13-Feb-2020","       13.6225","       13.6725","       11.8000","       13.3700","       13.6225","       -0.2500","  -1.85"
"14-Feb-2020","       13.3700","       13.9875","       11.9025","       13.6150","       13.3700","        0.2500","   1.83"
"17-Feb-2020","       13.6150","       14.6175","       13.3800","       14.4150","       13.6150","        0.8000","   5.88"
"18-Feb-2020","       14.4150","       14.8200","       11.3750","       14.5100","       14.4150","        0.1000","   0.66"
"19-Feb-2020","       14.5100","       14.5100","       13.4825","       14.0225","       14.5100","       -0.4900","  -3.36"
"20-Feb-2020","       14.0225","       14.0275","       10.1650","       13.7000","       14.0225","       -0.3200","  -2.30"
"24-Feb-2020","       13.7000","       17.3750","       12.2950","       16.9975","       13.7000","        3.3000","  24.07"
"25-Feb-2020","       16.9975","       17.3175","       15.6200","       16.8975","       16.9975","       -0.1000","  -0.59"
"26-Feb-2020","       16.8975","       18.8650","       16.5025","       18.2600","       16.8975","        1.3600","   8.06"
"27-Feb-2020","       18.2600","       19.1550","       16.8275","       17.7650","       18.2600","       -0.5000","  -2.71"
"28-Feb-2020","       17.7650","       23.6975","       17.4825","       23.2350","       17.7650","        5.4700","  30.79"
"02-Mar-2020","       23.2350","       26.3425","       19.9200","       25.2025","       23.2350","        1.9700","   8.47"
"03-Mar-2020","       25.2025","       26.4900","       21.5425","       24.5425","       25.2025","       -0.6600","  -2.62"
"04-Mar-2020","       24.5425","       26.2875","       22.4250","       24.2250","       24.5425","       -0.3200","  -1.29"
"05-Mar-2020","       24.2250","       24.2250","       22.1250","       23.2475","       24.2250","       -0.9800","  -4.04"
"06-Mar-2020","       23.2475","       27.5500","       23.2475","       25.6425","       23.2475","        2.4000","  10.30"
"09-Mar-2020","       25.6425","       34.3550","       21.4250","       30.8000","       25.6425","        5.1600","  20.11"
"11-Mar-2020","       30.8000","       33.2375","       29.6500","       31.5550","       30.8000","        0.7600","   2.45"
"12-Mar-2020","       31.5550","       42.3275","       29.8100","       41.1625","       31.5550","        9.6100","  30.45"
"13-Mar-2020","       41.1625","       59.4825","       41.1625","       51.4725","       41.1625","       10.3100","  25.05"
"16-Mar-2020","       51.4725","       59.8650","       51.4725","       58.8750","       51.4725","        7.4000","  14.38"
"17-Mar-2020","       58.8750","       63.4400","       57.2500","       62.9250","       58.8750","        4.0500","   6.88"
"18-Mar-2020","       62.9250","       64.5775","       61.1525","       63.9550","       62.9250","        1.0300","   1.64"
"19-Mar-2020","       63.9550","       73.3425","       63.0950","       72.1975","       63.9550","        8.2400","  12.89"
"20-Mar-2020","       72.1975","       72.9650","       65.3800","       67.1000","       72.1975","       -5.1000","  -7.06"
"23-Mar-2020","       67.1000","       73.3675","       66.3175","       71.9850","       67.1000","        4.8900","   7.28"
"24-Mar-2020","       71.9850","       86.6350","       71.9850","       83.6075","       71.9850","       11.6200","  16.15"
"25-Mar-2020","       83.6075","       84.5975","       75.9725","       77.6250","       83.6075","       -5.9800","  -7.16"
"26-Mar-2020","       77.6250","       79.4050","       70.6750","       71.5325","       77.6250","       -6.0900","  -7.85"
"27-Mar-2020","       71.5325","       73.0300","       65.6325","       70.3850","       71.5325","       -1.1500","  -1.60"
"30-Mar-2020","       70.3850","       73.3650","       70.2800","       71.8900","       70.3850","        1.5100","   2.14"
"31-Mar-2020","       71.8900","       71.8900","       63.6075","       64.4075","       71.8900","       -7.4800"," -10.41"
"01-Apr-2020","       64.4075","       64.4075","       59.7800","       60.0525","       64.4075","       -4.3600","  -6.76"
"03-Apr-2020","       60.0525","       60.5900","       54.9000","       55.3025","       60.0525","       -4.7500","  -7.91"
"07-Apr-2020","       55.3025","       55.3025","       49.9425","       51.8000","       55.3025","       -3.5000","  -6.33"
"08-Apr-2020","       51.8000","       53.7325","       46.9750","       52.2425","       51.8000","        0.4400","   0.85"
"09-Apr-2020","       52.2425","       52.2425","       46.9025","       49.7450","       52.2425","       -2.5000","  -4.78"
"13-Apr-2020","       49.7450","       52.4925","       43.6350","       51.4575","       49.7450","        1.7100","   3.44"
"15-Apr-2020","       51.4575","       51.4575","       44.6475","       49.7350","       51.4575","       -1.7200","  -3.35"
"16-Apr-2020","       49.7350","       49.7350","       42.2550","       46.0950","       49.7350","       -3.6400","  -7.32"
"17-Apr-2020","       46.0950","       46.0950","       40.3050","       42.5925","       46.0950","       -3.5000","  -7.60"
"20-Apr-2020","       42.5925","       44.0375","       40.2950","       43.4550","       42.5925","        0.8600","   2.03"
"21-Apr-2020","       43.4550","       45.9625","       36.2150","       45.1975","       43.4550","        1.7400","   4.01"
"22-Apr-2020","       45.1975","       45.4250","       40.4650","       42.8225","       45.1975","       -2.3800","  -5.25"
"23-Apr-2020","       42.8225","       42.8225","       36.9975","       39.2300","       42.8225","       -3.5900","  -8.39"
"24-Apr-2020","       39.2300","       39.9475","       34.9825","       39.1175","       39.2300","       -0.1100","  -0.29"
"27-Apr-2020","       39.1175","       40.1675","       35.2125","       38.0425","       39.1175","       -1.0800","  -2.75"
"28-Apr-2020","       38.0425","       41.9125","       35.0675","       35.3550","       38.0425","       -2.6900","  -7.06"
"29-Apr-2020","       35.3550","       35.3550","       31.4825","       33.8375","       35.3550","       -1.5200","  -4.29"
"30-Apr-2020","       33.8375","       34.2525","       32.5350","       33.9875","       33.8375","        0.1500","   0.44"
"04-May-2020","       33.9875","       43.9200","       33.9875","       43.6700","       33.9875","        9.6800","  28.49"
"05-May-2020","       43.6700","       43.8650","       38.1475","       43.6075","       43.6700","       -0.0600","  -0.14"
"06-May-2020","       43.6075","       43.6300","       40.1975","       41.2475","       43.6075","       -2.3600","  -5.41"
"07-May-2020","       41.2475","       41.7150","       39.6575","       39.9300","       41.2475","       -1.3200","  -3.19"
"08-May-2020","       39.9300","       39.9300","       36.5475","       38.4075","       39.9300","       -1.5200","  -3.81"
"11-May-2020","       38.4075","       38.4950","       36.9475","       38.0375","       38.4075","       -0.3700","  -0.96"
"12-May-2020","       38.0375","       38.8125","       35.2450","       38.2050","       38.0375","        0.1700","   0.44"
"13-May-2020","       38.2050","       39.0475","       33.4400","       38.8350","       38.2050","        0.6300","   1.65"
"14-May-2020","       38.8350","       38.8350","       35.7950","       38.1825","       38.8350","       -0.6500","  -1.68"
"15-May-2020","       38.1825","       38.4600","       34.0550","       38.0175","       38.1825","       -0.1700","  -0.43"
"18-May-2020","       38.0175","       41.2450","       27.9350","       40.9150","       38.0175","        2.9000","   7.62"
"19-May-2020","       40.9150","       40.9150","       37.9525","       39.4525","       40.9150","       -1.4600","  -3.57"
"20-May-2020","       39.4525","       39.4525","       34.0950","       35.8100","       39.4525","       -3.6400","  -9.23"
"21-May-2020","       35.8100","       35.8100","       32.5750","       32.9850","       35.8100","       -2.8300","  -7.89"
"22-May-2020","       32.9850","       34.3600","       26.3350","       32.3775","       32.9850","       -0.6100","  -1.84"
