Date,Open,High,Low,Close,Adj Close,Volume
2/8/2016,82.900002,82.949997,82.900002,82.900002,80.659462,15
2/9/2016,79,79,79,79,76.864868,1
2/10/2016,80,80,80,80,77.837837,1
2/11/2016,76,77.900002,73.650002,77.889999,75.784866,6478
2/12/2016,72,72,72,72,70.054054,15
2/15/2016,76,76,76,76,73.945946,300
2/16/2016,73.5,74,70.279999,73,71.027031,8893
2/17/2016,73.779999,73.779999,72.050003,72.050003,70.102707,756
2/18/2016,75.400002,75.400002,73.800003,74.099998,72.097298,300
2/19/2016,74.199997,74.410004,74.199997,74.199997,72.194595,307
2/22/2016,74.870003,74.870003,74.760002,74.800003,72.778381,549
2/23/2016,72.849998,73.25,72.849998,73.25,71.270271,2
2/24/2016,73,73.379997,72.5,72.580002,70.618378,3240
2/25/2016,72.809998,72.809998,72.25,72.25,70.297302,814
2/26/2016,72.949997,72.949997,72.400002,72.75,70.783783,445
2/29/2016,78,78,78,78,75.891891,64
3/1/2016,73.080002,74.400002,73.080002,74.400002,72.389191,461
3/2/2016,75.349998,75.349998,71.099998,75.349998,73.313515,884
3/3/2016,76.900002,89,76.650002,77,74.918922,325
3/4/2016,76.699997,76.900002,76.699997,76.800003,74.724327,614
3/8/2016,78.400002,78.400002,78.400002,78.400002,76.281082,2
3/9/2016,76.93,77.959999,76.93,77.410004,75.317841,2474
3/10/2016,77.050003,78.029999,76.93,77.510002,75.415138,1993
3/11/2016,77.5,78.059998,77.5,77.620003,75.522163,333
3/14/2016,77.599998,78.260002,77.599998,78.099998,75.989189,1544
3/15/2016,77.650002,77.989998,77.099998,77.099998,75.016212,7730
3/16/2016,76.949997,77.199997,76.5,77.150002,75.064865,202
3/17/2016,78.300003,78.5,77.32,77.32,75.23027,547
3/18/2016,78.099998,78.519997,77.639999,78.5,76.37838,22728
3/21/2016,79.080002,79.360001,78.760002,79.360001,77.215134,3324
3/22/2016,78.970001,79.610001,78.949997,79.540001,77.390274,4268
3/23/2016,79.309998,79.699997,79.309998,79.699997,77.545944,6976
3/28/2016,79.699997,79.849998,78.82,79.400002,77.254059,12190
3/29/2016,79.099998,79.099998,78.720001,79.050003,76.913521,428
3/30/2016,80.25,80.25,80.25,80.25,78.081085,23
3/31/2016,80.610001,80.610001,78.410004,79.629997,77.477837,684
4/1/2016,80.209999,80.400002,79.919998,79.919998,77.760002,1163
4/4/2016,80.190002,80.25,79.949997,80.199997,78.032433,1104
4/5/2016,81.25,81.25,81.25,81.25,79.054054,2
4/6/2016,79,79,78.599998,78.599998,76.475677,673
4/7/2016,78.57,78.57,78.330002,78.330002,76.212975,611
4/8/2016,78.639999,78.849998,78.589996,78.699997,76.572968,590
4/11/2016,78.550003,78.550003,78.550003,78.550003,76.427032,1
4/12/2016,79.870003,79.949997,79.43,79.900002,77.74054,660
4/13/2016,80,81.5,80,81.5,79.297302,2
4/18/2016,81.18,81.959999,81.18,81.629997,79.423782,688
4/20/2016,82,82,81.389999,81.870003,79.657303,247
4/21/2016,81.75,81.75,81.75,81.75,79.540543,30
4/22/2016,81.989998,82.089996,81.309998,81.309998,79.112434,685
4/25/2016,81.510002,81.510002,81.410004,81.410004,79.209732,115
4/26/2016,82,82.550003,76.099998,82,79.783783,174
4/27/2016,83.360001,84,83,83.510002,81.252975,383
4/28/2016,81.830002,82.75,81.400002,81.400002,79.200005,903
4/29/2016,81.68,81.68,80.900002,81,81,324
5/2/2016,85,85,85,85,85,142
5/3/2016,81,84.800003,77.849998,77.849998,77.849998,27
5/4/2016,78,78,77.5,77.5,77.5,2403
5/5/2016,77.949997,77.949997,77.949997,77.949997,77.949997,2
5/6/2016,77.25,78.43,77.199997,78.190002,78.190002,13074
5/9/2016,79,79,79,79,79,1
5/10/2016,79.25,79.809998,79,79.650002,79.650002,5402
5/11/2016,79.019997,79.489998,78.900002,79.120003,79.120003,2881
5/12/2016,79.589996,79.809998,79.300003,79.580002,79.580002,1278
5/13/2016,79.5,79.5,78.510002,78.510002,78.510002,3739
5/16/2016,78.650002,79.059998,78.25,79.059998,79.059998,2257
5/17/2016,79.660004,80.550003,79.360001,79.519997,79.519997,8661
5/18/2016,79.010002,79.059998,78.800003,78.970001,78.970001,2426
5/19/2016,79.209999,79.330002,78.75,78.75,78.75,855
5/20/2016,78.669998,78.669998,78,78,78,33527
5/23/2016,86.599998,86.599998,77.900002,77.93,77.93,784
5/24/2016,77.5,77.5,77.400002,77.400002,77.400002,4
5/25/2016,78.980003,79.650002,78.980003,79.610001,79.610001,2378
5/26/2016,80.25,80.650002,80.25,80.650002,80.650002,207
5/27/2016,81.459999,81.93,81.459999,81.900002,81.900002,9727
5/30/2016,82.449997,82.449997,82.449997,82.449997,82.449997,24
5/31/2016,82.57,82.57,81.910004,82.010002,82.010002,1580
6/1/2016,82.699997,82.699997,82.099998,82.099998,82.099998,1005
6/2/2016,82.199997,82.949997,81.900002,82.589996,82.589996,5589
6/3/2016,83.099998,83.099998,83.099998,83.099998,83.099998,5
6/6/2016,82.849998,82.849998,82.849998,82.849998,82.849998,2
6/7/2016,75,75,75,75,75,400
6/8/2016,83.300003,83.300003,82.82,83.290001,83.290001,6289
6/9/2016,83,83,83,83,83,1
6/10/2016,82.639999,83.410004,82.190002,82.190002,82.190002,4285
6/13/2016,81.599998,81.900002,81.599998,81.900002,81.900002,50
6/14/2016,81.870003,81.870003,81.260002,81.690002,81.690002,2567
6/15/2016,82.010002,82.949997,81.949997,82.949997,82.949997,7203
6/16/2016,82.540001,82.540001,81.739998,82.269997,82.269997,2015
6/17/2016,82.910004,82.910004,82.220001,82.32,82.32,2073
6/20/2016,82.25,83.239998,82.25,83.07,83.07,2625
6/21/2016,83.370003,83.370003,82.900002,82.970001,82.970001,1951
6/22/2016,83,83.080002,82.5,82.5,82.5,1608
6/23/2016,83.139999,83.599998,82.620003,83.370003,83.370003,2004
6/24/2016,81,81,78,78,78,202
6/27/2016,81.550003,81.550003,81.550003,81.550003,81.550003,1
6/28/2016,82.25,82.25,82.25,82.25,82.25,100
6/29/2016,82.629997,82.970001,82.5,82.68,82.68,2104
6/30/2016,83.669998,83.790001,83.410004,83.779999,83.779999,1922
7/1/2016,84.089996,84.5,84.010002,84.330002,84.330002,3801
7/4/2016,84.699997,84.699997,84.699997,84.699997,84.699997,5
7/5/2016,84.449997,84.449997,84.449997,84.449997,84.449997,2
7/7/2016,84.150002,84.349998,84,84.349998,84.349998,3703
7/8/2016,84.199997,84.199997,83.849998,84.019997,84.019997,22374
7/11/2016,85.599998,85.599998,85.599998,85.599998,85.599998,1
7/12/2016,85.870003,86.040001,85.650002,85.980003,85.980003,3467
7/13/2016,86,86.099998,85.760002,86.099998,86.099998,8436
7/14/2016,86.099998,86.099998,86.099998,86.099998,86.099998,99
7/15/2016,86.940002,86.940002,86.169998,86.449997,86.449997,2122
7/18/2016,86.769997,87,85.940002,85.940002,85.940002,2646
7/19/2016,86.339996,86.339996,85.889999,86.199997,86.199997,1872
7/20/2016,86.300003,86.889999,86.300003,86.889999,86.889999,463
7/21/2016,86.910004,86.910004,86.300003,86.300003,86.300003,289
7/22/2016,86.25,86.25,86.25,86.25,86.25,35
7/25/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
7/26/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
7/27/2016,87.800003,87.800003,87.800003,87.800003,87.800003,54
7/28/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
7/29/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
8/1/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
8/2/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
8/3/2016,87.199997,87.199997,87.199997,87.199997,87.199997,5
8/4/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
8/5/2016,89,89,89,89,89,4
8/8/2016,90,90,87.949997,87.949997,87.949997,820
8/9/2016,88.400002,88.400002,88.400002,88.400002,88.400002,1
8/10/2016,90,90,90,90,90,2
8/11/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
8/12/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
8/16/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
8/17/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
8/18/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
8/19/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
8/22/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
8/23/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
8/24/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
8/25/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
8/26/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
8/29/2016,87.199997,87.199997,87,87,87,63
8/30/2016,88.25,88.25,88.25,88.25,88.25,100
8/31/2016,88.849998,88.849998,88.849998,88.849998,88.849998,100
9/1/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
9/2/2016,88.699997,88.75,88.699997,88.75,88.75,1308
9/6/2016,90.349998,90.550003,90.349998,90.550003,90.550003,6
9/7/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
9/8/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
9/9/2016,90.650002,90.650002,90.650002,90.650002,90.650002,1
9/12/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
9/14/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
9/15/2016,88.349998,88.349998,88.349998,88.349998,88.349998,20
9/16/2016,89.199997,89.199997,89.199997,89.199997,89.199997,1
9/19/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
9/20/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
9/21/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
9/22/2016,90,90,90,90,90,1400
9/23/2016,90.25,90.25,90,90,90,1550
9/26/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
9/27/2016,88,88.949997,88,88.650002,88.650002,202
9/28/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
9/29/2016,88,88,86.699997,86.699997,86.699997,1002
9/30/2016,87.550003,87.550003,87.550003,87.550003,87.550003,50
10/3/2016,88.400002,88.400002,88.400002,88.400002,88.400002,5
10/4/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
10/5/2016,89.199997,89.199997,89.199997,89.199997,89.199997,2
10/6/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
10/7/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
10/10/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
10/13/2016,88,88,86.5,86.5,86.5,1012
10/14/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
10/17/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
10/18/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
10/19/2016,87.599998,87.599998,87.599998,87.599998,87.599998,5
10/20/2016,88,88.699997,88,88.550003,88.550003,6
10/21/2016,88.150002,88.150002,88.150002,88.150002,88.150002,3
10/24/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
10/25/2016,88.650002,88.650002,88.650002,88.650002,88.650002,3
10/26/2016,87.800003,87.800003,87.800003,87.800003,87.800003,2
10/27/2016,87.550003,87.550003,87.550003,87.550003,87.550003,53
10/28/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
11/1/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
11/2/2016,87,87,86.5,86.550003,86.550003,8
11/3/2016,86.900002,86.949997,86.75,86.75,86.75,184
11/4/2016,86,86,85.400002,85.400002,85.400002,8
11/7/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
11/8/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
11/9/2016,84.300003,84.300003,84.300003,84.300003,84.300003,100
11/10/2016,86.300003,87.400002,86.300003,87,87,9
11/11/2016,85.25,85.25,84.5,84.5,84.5,103
11/15/2016,84,84,82.650002,82.800003,82.800003,638
11/16/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
11/17/2016,82.75,83,82.75,83,83,120
11/18/2016,86.379997,86.379997,86.379997,86.379997,86.379997,0
11/21/2016,82,82,80.5,80.5,80.5,118
11/22/2016,81.199997,81.25,81.199997,81.25,81.25,66
11/23/2016,81.599998,81.599998,81.599998,81.599998,81.599998,11
11/24/2016,81.599998,81.599998,81.349998,81.349998,81.349998,513
11/25/2016,82,82.599998,82,82.599998,82.599998,2
11/28/2016,82.650002,82.699997,82.650002,82.699997,82.699997,84
11/29/2016,83,83.300003,83,83,83,91
11/30/2016,83.400002,83.400002,83.400002,83.400002,83.400002,165
12/1/2016,83.900002,83.900002,83.900002,83.900002,83.900002,16
12/2/2016,83.099998,83.099998,82.25,82.25,82.25,64
12/5/2016,82.449997,82.449997,82.400002,82.449997,82.449997,42
12/6/2016,83.400002,83.400002,83.349998,83.349998,83.349998,51
12/7/2016,83.25,83.25,83.25,83.25,83.25,71
12/8/2016,83.25,83.849998,83.25,83.849998,83.849998,49
12/9/2016,84,84.150002,84,84.150002,84.150002,38
12/12/2016,83.550003,83.550003,83.550003,83.550003,83.550003,5
12/13/2016,83.449997,83.5,83.449997,83.5,83.5,27
12/14/2016,83.699997,83.75,83.699997,83.75,83.75,47
12/15/2016,83,83.75,83,83.050003,83.050003,52
12/16/2016,83.099998,83.099998,83.050003,83.050003,83.050003,87
12/19/2016,82.800003,82.849998,82.800003,82.849998,82.849998,71
12/20/2016,82.800003,82.800003,82.75,82.75,82.75,115
12/21/2016,82.550003,82.650002,82.550003,82.550003,82.550003,98
12/22/2016,82,82,81.050003,81.050003,81.050003,92
12/23/2016,81.099998,81.150002,81.099998,81.150002,81.150002,82
12/26/2016,81,81,80.349998,80.349998,80.349998,52
12/27/2016,80.849998,80.849998,80.699997,80.699997,80.699997,100
12/28/2016,82.300003,82.349998,82.300003,82.349998,82.349998,48
12/29/2016,82.099998,82.099998,82.099998,82.099998,82.099998,191
12/30/2016,83,83.449997,83,83.449997,83.449997,60
1/2/2017,83.199997,83.25,83.199997,83.25,83.25,164
1/3/2017,83.449997,83.449997,83.349998,83.349998,83.349998,30
1/4/2017,83.699997,83.699997,83.25,83.25,83.25,30
1/5/2017,84,84.349998,84,84.349998,84.349998,21
1/6/2017,84.75,84.75,84.75,84.75,84.75,40
1/9/2017,84.099998,84.099998,84.099998,84.099998,84.099998,170
1/10/2017,84.400002,84.400002,83.949997,83.949997,83.949997,23
1/11/2017,85,85.449997,85,85.449997,85.449997,14
1/12/2017,85.599998,85.75,85,85.75,85.75,14
1/13/2017,85.650002,85.650002,85.650002,85.650002,85.650002,16
1/16/2017,85.599998,85.800003,85.449997,85.449997,85.449997,149
